playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,SICKO MODE - Skrillex Remix,0u695M7KyzXaPIjpEbxOkB,Travis Scott,SICKO MODE (Skrillex Remix),https://i.scdn.co/image/77eb7c17cafe55036f97c0b148ae9b5798725407,0.651,0.833,C#,-3.356,major,0.172,0.0214,0,0.14,0.443,155.051,304512,4,C# major
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,"Don't Forget About Me, Demos",https://i.scdn.co/image/7644872563754f99f26dee1daa99e67374a6a812,0.815,0.518,G,-6.594,minor,0.0897,0.223,0,0.104,0.877,151.891,177667,4,G minor
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,Only Want You,2CTN6UuO2dNEVZXR0DJVk2,Rita Ora,Phoenix (Deluxe),https://i.scdn.co/image/47841a865a85ae39da440a1346e56190bf035d02,0.654,0.528,F#,-6.224,minor,0.0412,0.0599,7.14e-5,0.0975,0.376,82.014,180760,4,F# minor
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,Kodak Black,ZEZE (feat. Travis Scott & Offset),https://i.scdn.co/image/fed289df350576c738c46a426b2cae60d430dfc6,0.861,0.637,G#,-5.692,minor,0.24,0.0515,3.35e-6,0.0967,0.474,98.044,228654,4,G# minor
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,comethru,18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,"summer,",https://i.scdn.co/image/81e09ca6e9544edeef494b2ed7b846efa46929a4,0.794,0.188,C,-11.957,major,0.0523,0.601,0,0.637,0.64,93.967,181613,4,C major
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,Mama (feat. Ellie Goulding),3WDIhWoRWVcaHdRwMEHkkS,Clean Bandit,What Is Love? (Deluxe),https://i.scdn.co/image/5a1136e441d47aadb780e9c14338e9452946ad77,0.737,0.714,C#,-6.138,minor,0.0367,0.225,3.79e-6,0.267,0.608,102.046,189973,4,C# minor
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,The 1975,A Brief Inquiry Into Online Relationships,https://i.scdn.co/image/24753fe5d9ec614b83e1f069c28e3d32449c767b,0.618,0.824,C#,-5.316,major,0.0301,2.97e-4,6.87e-5,0.0649,0.598,121.238,248336,4,C# major
TOP HITS JORDAN - TOP 50 JORDAN - JORDAN TOP 50 - TOP SONGS IN JORDAN 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720beccca02c139eb4270d5e396086329c97c782c7b478dd916d01780a9591c8a02944fa06aaf30ca3e374,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,Trippie Redd,A Love Letter To You 3,https://i.scdn.co/image/8984042f24e62f3e53ebfa8d408e49ed58d90ec9,0.755,0.615,E,-8.245,major,0.0454,0.00587,1.75e-6,0.109,0.039,105.955,215364,4,E major
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",https://i.scdn.co/image/cca02c139eb4270d5e396086329c97c782c7b478,0.841,0.798,C#,-4.206,minor,0.229,0.153,3.33e-6,0.0618,0.591,95.948,212500,4,C# minor
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,Wow.,6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow.,https://i.scdn.co/image/4a09059a2a756967588647bbcb5fd5f6fd8dd434,0.833,0.539,B,-7.399,minor,0.178,0.163,2.1e-6,0.101,0.385,99.947,149520,4,B minor
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,Khalid,Suncity,https://i.scdn.co/image/8f9d777cf5746a1a44e0ea3d6195aa27bc720bec,0.54,0.439,A#,-8.591,major,0.115,0.635,1.93e-5,0.0993,0.371,167.908,209547,4,A# major
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,Switch Lanes,1GMDpf82TUwTVBPYiu0dmR,Tyga,Hotel California (Deluxe),https://i.scdn.co/image/c41214516269810aee22680a053ca70297030fea,0.765,0.857,A#,-4.341,minor,0.225,0.549,1.73e-4,0.101,0.491,92.469,221493,4,A# minor
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,Asesina,6rbhaJsE4uLzpPf8WYSHDK,Brytiago,Asesina,https://i.scdn.co/image/eff197012f745482281ceba8a7cd9fbffcff7cda,0.845,0.663,A#,-5.233,minor,0.27,0.614,0,0.114,0.508,94.215,187213,4,A# minor
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,MIA (feat. Drake),https://i.scdn.co/image/80c0f2b0ad6669f3abd91c6b8e61f61980906b45,0.817,0.539,F#,-6.349,minor,0.0621,0.0141,4.96e-4,0.099,0.158,97.062,210368,4,F# minor
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,Quiere Beber,3rPAD722s5FFNnwjC91t7Z,Anuel Aa,Real Hasta la Muerte,https://i.scdn.co/image/a196139b2a6a8831dff79a06a102131d665c7ac0,0.773,0.57,G#,-3.482,major,0.113,0.372,0.00524,0.108,0.772,95.038,187125,4,G# major
TOP HITS COSTA RICA - TOP 50 COSTA RICA - COSTA RICA TOP 50 - TOP SONGS IN COSTA RICA 2019,https://mosaic.scdn.co/640/4a09059a2a756967588647bbcb5fd5f6fd8dd4348f9d777cf5746a1a44e0ea3d6195aa27bc720becc41214516269810aee22680a053ca70297030feacca02c139eb4270d5e396086329c97c782c7b478,Good Vibes,4TwIbmabI2R5XUhqptk6Ev,Fuego,Good Vibes,https://i.scdn.co/image/12e37ad64d9e7b28a212362d77ba60faebcb207b,0.823,0.63,G,-3.932,major,0.0797,0.0348,6.72e-6,0.0964,0.184,100.04,235720,4,G major
